playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_rot,error_anchor_lin_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.037637535482645035,0,0.005374239757657051,0.019051583483815193,0.8113320469856262,3.6826012134552,0.006122849881649017,0.021880492568016052,0.12593311071395874,20.365074157714844,0.5939972400665283,3.600889205932617,0,0,0,0,0.0006561279296875,-3.814697265625e-05
1,0.01,1,0.03995196893811226,0,0.012120557948946953,0.038253262639045715,0.6793242692947388,0.6049370169639587,0.012268329970538616,0.044340383261442184,0.22377905249595642,12.261162757873535,0.5521434545516968,2.0355746746063232,0,0,0,0,0.004638671875,4.9591064453125e-05
2,0.02,2,0.04603593423962593,0,0.01733904704451561,0.03537439927458763,0.43572890758514404,1.0232665538787842,0.017198028042912483,0.049222350120544434,0.23372256755828857,8.941688537597656,0.43329474329948425,1.5302801132202148,0,0,0,0,0.007409095764160156,0.00019073486328125
3,0.03,3,0.0489310547709465,0,0.020767560228705406,0.03216124698519707,0.30611950159072876,0.2275516390800476,0.020898690447211266,0.04715924710035324,0.2165364921092987,6.440446853637695,0.3399406373500824,1.2553313970565796,0,0,0,0,0.008497238159179688,1.1444091796875e-05
4,0.04,4,0.0508655346930027,0,0.022862840443849564,0.03176339715719223,0.2108587771654129,0.87836754322052,0.02296958491206169,0.049302101135253906,0.21897676587104797,5.546799659729004,0.30182063579559326,1.128427267074585,0,0,0,0,0.008577346801757812,-0.000904083251953125
5,0.05,5,0.05149753391742706,0,0.024021973833441734,0.03237767517566681,0.12291592359542847,1.3091700077056885,0.02362622134387493,0.05278676003217697,0.22668223083019257,4.808181285858154,0.265998512506485,1.2213090658187866,0,0,0,0,0.008410453796386719,-0.0020599365234375
6,0.06,6,0.05181672051548958,0,0.024217240512371063,0.03595799207687378,0.09046972543001175,1.0827250480651855,0.023543309420347214,0.0549362413585186,0.2341754138469696,4.00632905960083,0.2500898241996765,1.1220492124557495,0,0,0,0,0.00811767578125,-0.0030975341796875
7,0.07,7,0.05179636925458908,0,0.02349395863711834,0.039802368730306625,0.14237776398658752,0.877259373664856,0.02311786636710167,0.05629687011241913,0.23987306654453278,3.431549549102783,0.2719388008117676,1.0986500978469849,0,0,0,0,0.007845878601074219,-0.0039520263671875
8,0.08,8,0.05131455138325691,0,0.02202005684375763,0.0414404571056366,0.21111439168453217,0.8627077341079712,0.02210690639913082,0.05797037482261658,0.23975330591201782,4.202565670013428,0.3001885414123535,1.0692698955535889,0,0,0,0,0.007761955261230469,-0.004604339599609375
9,0.09,9,0.05081593990325928,0,0.019969729706645012,0.04237554222345352,0.2772795259952545,1.088924527168274,0.020610392093658447,0.06045183539390564,0.2411356121301651,4.235779285430908,0.36638185381889343,0.9652888178825378,0,0,0,0,0.007971763610839844,-0.005046844482421875
10,0.1,10,0.049753282219171524,0,0.017415959388017654,0.04602940380573273,0.32135915756225586,0.9317896962165833,0.01894170045852661,0.06507720053195953,0.2549668252468109,5.477109432220459,0.3627651631832123,1.1794753074645996,0,0,0,0,0.008390426635742188,-0.00508880615234375
11,0.11,11,0.048991575837135315,0,0.01492179837077856,0.05202486366033554,0.3017326891422272,1.2877089977264404,0.017285510897636414,0.0714731365442276,0.28153544664382935,6.758625507354736,0.3718040883541107,1.3851211071014404,0,0,0,0,0.009053230285644531,-0.0045928955078125
12,0.12,12,0.048235367983579636,0,0.013457417488098145,0.05239884927868843,0.08705612272024155,0.9213383793830872,0.01664818450808525,0.07590197771787643,0.30006906390190125,10.595927238464355,0.1644749492406845,1.2604796886444092,0,0,0,0,0.009477615356445312,-0.0041961669921875
13,0.13,13,0.05015941336750984,0,0.013529281131923199,0.048472240567207336,0.053216662257909775,0.5947378873825073,0.0166773684322834,0.07914357632398605,0.31497451663017273,3.470609664916992,0.13598182797431946,0.8968157172203064,0,0,0,0,0.009917259216308594,-0.00446319580078125
