playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_rot,error_anchor_lin_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,error_body_lin_vel,error_body_ang_vel,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.04461226239800453,0,0.001293351873755455,0.010995253920555115,0.3188897371292114,1.4195581674575806,0.002569184172898531,0.014993815682828426,0.09474930167198181,13.188359260559082,0.3291032910346985,2.097698926925659,0.0012121200561523438,-4.1961669921875e-05
1,0.01,1,0.047090619802474976,0,0.003311058273538947,0.023613084107637405,0.3400023281574249,1.0551912784576416,0.006348595954477787,0.03679311275482178,0.22788159549236298,12.757445335388184,0.38674649596214294,2.2096691131591797,0.0032777786254882812,-0.00011444091796875
2,0.02,2,0.05080670118331909,0,0.004979254677891731,0.02222660556435585,0.2699353098869324,1.161389946937561,0.008763626217842102,0.04362424835562706,0.2521386444568634,4.044023036956787,0.2534515857696533,0.9286738634109497,0.003954887390136719,-0.000301361083984375
3,0.03,3,0.050942275673151016,0,0.006659314502030611,0.01971765235066414,0.2690589427947998,0.6673036217689514,0.010465661063790321,0.039341919124126434,0.2155907154083252,4.83107852935791,0.23276285827159882,0.9129297137260437,0.0031576156616210938,-0.00083160400390625
4,0.04,4,0.05114156752824783,0,0.008622781373560429,0.021737415343523026,0.25942930579185486,0.5782386660575867,0.011889408342540264,0.033954277634620667,0.17644473910331726,4.419069290161133,0.2348155677318573,0.8676813840866089,0.0019998550415039062,-0.000988006591796875
5,0.05,5,0.051281750202178955,0,0.01100151427090168,0.024610962718725204,0.2556284964084625,0.3203964829444885,0.01367571484297514,0.029440123587846756,0.14441537857055664,3.9514050483703613,0.23705236613750458,0.8310452699661255,0.0009860992431640625,-0.0012054443359375
6,0.06,6,0.05148522928357124,0,0.013491000048816204,0.02691071294248104,0.23932954668998718,0.32330530881881714,0.015748925507068634,0.025278139859437943,0.12071499973535538,3.3568310737609863,0.23725438117980957,0.7383224368095398,0.00021648406982421875,-0.00141143798828125
7,0.07,7,0.05162334069609642,0,0.015916209667921066,0.029467077925801277,0.22217771410942078,0.3647506833076477,0.01793232373893261,0.023596590384840965,0.10718025267124176,3.0559067726135254,0.21853506565093994,0.6796605587005615,-0.000270843505859375,-0.001605987548828125
8,0.08,8,0.051763661205768585,0,0.018181627616286278,0.03228551521897316,0.20798155665397644,0.413394033908844,0.020070116966962814,0.023783471435308456,0.10281769931316376,2.543584108352661,0.20796899497509003,0.6036607623100281,-0.0004711151123046875,-0.001758575439453125
9,0.09,9,0.051815249025821686,0,0.02027297392487526,0.035679012537002563,0.19950413703918457,0.4330066442489624,0.02208852767944336,0.025294771417975426,0.10495048016309738,2.172996997833252,0.198589026927948,0.5496135950088501,-0.000396728515625,-0.001903533935546875
10,0.1,10,0.05187230929732323,0,0.02218783088028431,0.03978060558438301,0.1945221722126007,0.46377527713775635,0.023960232734680176,0.027707058936357498,0.11119858920574188,1.8989073038101196,0.1887754499912262,0.49243444204330444,-7.82012939453125e-05,-0.002071380615234375
11,0.11,11,0.05191337689757347,0,0.023948125541210175,0.04418448358774185,0.19329899549484253,0.4742484986782074,0.025693144649267197,0.030915595591068268,0.11922559887170792,1.6814255714416504,0.17963731288909912,0.43888407945632935,0.000453948974609375,-0.0022125244140625
12,0.12,12,0.05193887650966644,0,0.025579895824193954,0.04883966222405434,0.1941376030445099,0.48330655694007874,0.027294283732771873,0.034115053713321686,0.12785948812961578,1.5281797647476196,0.17057156562805176,0.38271552324295044,0.0011768341064453125,-0.0023345947265625
13,0.13,13,0.051951903849840164,0,0.02711588330566883,0.05330886319279671,0.19390156865119934,0.44760334491729736,0.028781365603208542,0.03719466179609299,0.1364865005016327,1.4219592809677124,0.16201113164424896,0.32866495847702026,0.00205230712890625,-0.002422332763671875
14,0.14,14,0.051945969462394714,0,0.028565581887960434,0.05756276845932007,0.1940966695547104,0.43318209052085876,0.030160047113895416,0.0399126261472702,0.14457504451274872,1.3406000137329102,0.15307803452014923,0.2861989140510559,0.0030603408813476562,-0.0024871826171875
15,0.15,15,0.05194630101323128,0,0.029951240867376328,0.06163141131401062,0.1928219348192215,0.41436201333999634,0.03144896775484085,0.04233371838927269,0.15240317583084106,1.2287046909332275,0.14483627676963806,0.2600550949573517,0.004154205322265625,-0.002506256103515625
16,0.16,16,0.05193299800157547,0,0.031307872384786606,0.0655163824558258,0.1909457892179489,0.3993481397628784,0.03267162665724754,0.04434474930167198,0.15948885679244995,1.144148349761963,0.13738641142845154,0.252233624458313,0.005295753479003906,-0.002498626708984375
17,0.17,17,0.05188027024269104,0,0.03262680023908615,0.06926575303077698,0.1881771981716156,0.3815043270587921,0.03383340686559677,0.0460183247923851,0.1659546047449112,1.058794379234314,0.12973599135875702,0.25626736879348755,0.006465911865234375,-0.00243377685546875
18,0.18,18,0.051838602870702744,0,0.03390774875879288,0.072921521961689,0.182719424366951,0.37182509899139404,0.034935642033815384,0.047400109469890594,0.1716683954000473,0.9660201668739319,0.12360762804746628,0.27116498351097107,0.007643699645996094,-0.00234222412109375
19,0.19,19,0.05180521681904793,0,0.03516250476241112,0.07616183906793594,0.1759403795003891,0.31734392046928406,0.03598183020949364,0.04870963096618652,0.17699658870697021,0.8596989512443542,0.11978600919246674,0.2765944004058838,0.008808135986328125,-0.002227783203125
20,0.2,20,0.05176256597042084,0,0.036384955048561096,0.07933669537305832,0.1731075793504715,0.3356574773788452,0.036983005702495575,0.04995749518275261,0.1817614734172821,0.8110379576683044,0.11771892011165619,0.29417455196380615,0.0099639892578125,-0.00208282470703125
21,0.21,21,0.051716793328523636,0,0.03758605942130089,0.08219612389802933,0.1657712310552597,0.27385470271110535,0.03793097287416458,0.051101863384246826,0.18582206964492798,0.7259909510612488,0.11688849329948425,0.3013298809528351,0.01110076904296875,-0.001918792724609375
22,0.22,22,0.05165179446339607,0,0.03876833617687225,0.08457101136445999,0.16026264429092407,0.2425786703824997,0.038827575743198395,0.05228268727660179,0.1891470104455948,0.6833729147911072,0.11549347639083862,0.3069208264350891,0.012226104736328125,-0.001720428466796875
