label,logged_steps,motion_total_frames,simulated_duration_s,motion_completion_fraction,motion_completed,exact_motion_frame_sequence,terminal_terms,all_metrics_finite,no_motion_wrap,started_near_platform_center,reward_mean,reward_p95,anchor_pos_mean,anchor_pos_p95,anchor_pos_max,anchor_rot_p95,body_pos_mean,body_pos_p95,body_pos_max,joint_pos_mean,joint_pos_p95,joint_pos_max,max_distance_from_center_m,xy_tracking_drift_p95_m,xy_tracking_drift_max_m,xy_tracking_drift_last_m,initial_stationary_xy_max_m,stationary_tail_xy_increase_m,stationary_tail_xy_slope_m_per_s,acceptance_profile,failed_checks,acceptance_pass
nominal_seed42,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07713825893114731,0.0805021371692419,0.07378459511025108,0.13951903358101841,0.1569667011499405,0.10186595059931278,0.04544031023130399,0.06698862761259079,0.08225059509277344,0.41012824599678965,0.6419748723506927,0.9392749071121216,0.634258747912983,0.13609091817486668,0.15619092187615813,0.016510817289698818,0.08072207410833816,-0.0025357302170118355,-0.0033322335164059657,nominal,[],True
robust_seed0,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07654787470142976,0.08019680380821229,0.10327503333005501,0.22877674549818028,0.33113816380500793,0.10408515967428685,0.03459732909496355,0.05030439309775829,0.06509064137935638,0.38469438332865485,0.6007597118616101,0.7618615627288818,0.6490032212760553,0.22837544375349422,0.33109052973040387,0.0928696641286894,0.15748622835635556,0.047135606519793774,0.0073833061634620695,robust,[],True
robust_seed1,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.0752884869445922,0.08050113581120968,0.1195139205806597,0.20436055064201356,0.23620787262916565,0.12032493837177753,0.04096683886789408,0.06630797944962977,0.10608278214931488,0.4282891772920031,0.7591634750366211,1.1432433128356934,0.6852612188436539,0.2036087709260822,0.23601994983163246,0.08581195792512622,0.061656736486267204,-0.027004235994873574,-0.0015007619214145948,robust,[],True
robust_seed2,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07660964554717833,0.08069079332053661,0.07584960063283303,0.1549701862037181,0.2713880240917206,0.11470751874148842,0.03435228406251169,0.05172268785536288,0.10805772244930267,0.38234394181178355,0.5826837956905365,1.0024795532226562,0.5929291360307345,0.15452869159932758,0.2713884927963506,0.051371850117895614,0.10712540801413159,0.04506732114701592,0.01070371921984781,robust,['stationary_tail_xy_slope'],False
