label,logged_steps,motion_total_frames,simulated_duration_s,motion_completion_fraction,motion_completed,exact_motion_frame_sequence,terminal_terms,all_metrics_finite,no_motion_wrap,started_near_platform_center,reward_mean,reward_p95,anchor_pos_mean,anchor_pos_p95,anchor_pos_max,anchor_rot_p95,body_pos_mean,body_pos_p95,body_pos_max,joint_pos_mean,joint_pos_p95,joint_pos_max,max_distance_from_center_m,xy_tracking_drift_p95_m,xy_tracking_drift_max_m,xy_tracking_drift_last_m,initial_stationary_xy_max_m,stationary_tail_xy_increase_m,stationary_tail_xy_slope_m_per_s,acceptance_profile,failed_checks,acceptance_pass
nominal_old50k_s42,3972,3972,39.71999999999915,1.0,True,True,,True,,True,0.04376639085348174,0.05205792747437953,0.3808570297956392,0.5933613687753677,0.6505939364433289,0.12502538524568074,0.04243781758975969,0.06342952288687229,0.08066172897815704,0.5629366931560836,0.8046263009309769,1.0219351053237915,1.1350709425750405,0.5932069141314373,0.6505719849950609,0.44216761545806954,0.21321154020363672,-0.1437272029060856,-0.013726403218751591,nominal,"['no_motion_wrap', 'platform_center_safety', 'xy_tracking_drift_p95', 'xy_tracking_drift_max', 'xy_tracking_drift_last', 'initial_stationary_xy_max']",False
nominal_b10s_s42,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.0722043484830169,0.07584618851542473,0.081614120429136,0.1552354022860527,0.18508416414260864,0.1200978510081768,0.042050765318845745,0.06431468576192854,0.0899742841720581,0.6215482753329167,0.8074147343635558,0.9506361484527588,0.5895372150443043,0.15452155302614357,0.18278362511191273,0.0617874058148838,0.05740605109838246,-0.02321738950669315,-0.010573682324728965,nominal,[],True
nominal_final_s42,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07656966576921076,0.08084121495485305,0.10557200885548988,0.1833379976451397,0.21319369971752167,0.1109173499047756,0.04266874127083881,0.06590332463383675,0.07834210991859436,0.4148265269265134,0.6243187129497527,0.7847999334335327,0.48717452793015253,0.18271477497366753,0.21191925651801824,0.08179597441464063,0.13940246069809975,-0.004042579411806288,-0.003878818082580597,nominal,[],True
robust_old50k_s0,3972,3972,39.71999999999915,1.0,True,True,,True,,True,0.043036857531251235,0.05127328597009182,0.47891762239327884,0.6350331485271453,0.7026100754737854,0.09390239678323269,0.03644796056166882,0.05188268478959798,0.06983741372823715,0.5274552826658041,0.7192421168088912,0.9815627932548523,1.1128919063474827,0.634607429935747,0.7024562351769778,0.5746572988331451,0.4522445771525979,0.03255162565979408,0.003736856809082253,robust,"['no_motion_wrap', 'platform_center_safety', 'xy_tracking_drift_p95', 'xy_tracking_drift_max', 'xy_tracking_drift_last', 'initial_stationary_xy_max']",False
robust_b10s_s0,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07063281284279424,0.07508437484502792,0.1180213991601127,0.2770100891590118,0.3496718406677246,0.11406037509441375,0.044120099553401085,0.06663434505462647,0.08533468097448349,0.6547150814503409,0.9126020073890685,1.2013044357299805,0.6694561700747541,0.2768510718917142,0.3495508139761941,0.061814037147003016,0.29388706034105067,0.04188610721620409,0.005988356204176106,robust,"['joint_pos_p95', 'xy_tracking_drift_p95', 'initial_stationary_xy_max']",False
robust_final_s0,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07674903574625681,0.08002237416803837,0.09200501486701607,0.1996167279779911,0.27910006046295166,0.10588753037154673,0.0357888135745293,0.055166240036487575,0.09045170247554779,0.3912572448473885,0.5605293154716489,0.8796669840812683,0.5518671509584792,0.1985607606490153,0.279031829372974,0.061527990912942906,0.14824551620169768,0.04412470522792586,0.008637878119161196,robust,[],True
robust_old50k_s1,3972,3972,39.71999999999915,1.0,True,True,,True,,True,0.04244036449415821,0.052266047708690165,0.725599209623611,1.3757840752601624,1.5029089450836182,0.13080596849322318,0.04481975656471235,0.0671747975051403,0.10709985345602036,0.6159528857669141,0.8762318670749665,1.3445937633514404,1.0276893084242358,1.3754584497561657,1.5027543541407802,1.5025798912431054,0.13482152379881918,0.28614005991889835,0.03721170017990083,robust,"['no_motion_wrap', 'platform_center_safety', 'xy_tracking_drift_p95', 'xy_tracking_drift_max', 'xy_tracking_drift_last', 'stationary_tail_xy_increase', 'stationary_tail_xy_slope']",False
robust_b10s_s1,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07007859487270361,0.07569761276245117,0.11528468091572631,0.22094446718692773,0.27696990966796875,0.1437010742723941,0.04542301818932438,0.06911933198571203,0.10056588053703308,0.6839517316924482,1.0041053652763365,1.3318836688995361,0.6188867254820841,0.2200326032182935,0.27390517204934456,0.10591218109095449,0.11005592679342886,-0.044864069709339455,-0.0031526897883568097,robust,['joint_pos_p95'],False
robust_final_s1,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07532938502631399,0.08012807331979274,0.11523369734183944,0.210378909856081,0.26998838782310486,0.13084248080849645,0.0427163497888092,0.06295492239296434,0.08697651326656342,0.4329539014088423,0.713107445836067,0.947860598564148,0.6189012717282666,0.20975272817222265,0.2699305296976887,0.07578323959739432,0.0790563024131714,-0.030014437854792173,-0.0005504764499838164,robust,[],True
robust_old50k_s2,3972,3972,39.71999999999915,1.0,True,True,,True,,True,0.04694148502242259,0.05277605056762695,0.26417587214634425,0.642349311709404,0.6869738698005676,0.11373719498515122,0.035645749164353174,0.05418144315481186,0.0806603878736496,0.5402082907859412,0.8020587682723999,1.1144287586212158,1.1704805792695472,0.641323574893061,0.6868332893486497,0.6755400429554596,0.16358355319777423,0.11690845353728974,0.015126343404584044,robust,"['no_motion_wrap', 'platform_center_safety', 'xy_tracking_drift_p95', 'xy_tracking_drift_max', 'xy_tracking_drift_last', 'stationary_tail_xy_increase', 'stationary_tail_xy_slope']",False
robust_b10s_s2,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.0721853875948073,0.07578695565462112,0.07569921281394358,0.1798651523888111,0.24730363488197327,0.11532095074653614,0.036783022342204263,0.05255458317697048,0.07207971811294556,0.5797046390000997,0.8100649535655975,1.0850787162780762,0.6079435129815292,0.17797803806578485,0.24526475474680628,0.022812110642582758,0.11079521565441196,0.013764256883359827,0.009340381113287494,robust,[],True
robust_final_s2,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07726440509389204,0.08052100725471974,0.0746168319700923,0.1504543885588646,0.1819341629743576,0.10764465443789956,0.03310622240009662,0.0508258918300271,0.0844516009092331,0.3523047184618518,0.5387962222099304,0.6821802854537964,0.6135370843643533,0.1482479328961646,0.180780456845775,0.055846424226701954,0.07673549956983541,0.03701333845657985,0.007575924106693617,robust,[],True
