label,logged_steps,motion_total_frames,simulated_duration_s,motion_completion_fraction,motion_completed,exact_motion_frame_sequence,terminal_terms,all_metrics_finite,no_motion_wrap,started_near_platform_center,reward_mean,reward_p95,anchor_pos_mean,anchor_pos_p95,anchor_pos_max,anchor_rot_p95,body_pos_mean,body_pos_p95,body_pos_max,joint_pos_mean,joint_pos_p95,joint_pos_max,max_distance_from_center_m,xy_tracking_drift_p95_m,xy_tracking_drift_max_m,xy_tracking_drift_last_m,initial_stationary_xy_max_m,stationary_tail_xy_increase_m,stationary_tail_xy_slope_m_per_s,acceptance_profile,failed_checks,acceptance_pass
nominal_seed42,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07619865153318746,0.08038330636918545,0.08186817774185695,0.1809893049299717,0.25862759351730347,0.130307999998331,0.044218204255016054,0.06566187776625156,0.0976250022649765,0.4354167231822842,0.63120157122612,0.8730913400650024,0.5260677562648282,0.17834936801871523,0.2581398795573855,0.008591880400004977,0.21842957527926954,-0.022264272933129964,-0.0016660844294455852,nominal,['initial_stationary_xy_max'],False
robust_seed0,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07529166029449195,0.08047255910933018,0.1195551056650062,0.29042992442846266,0.4882088303565979,0.12091981172561644,0.037906172493922766,0.06445239223539827,0.10231801867485046,0.4078967174625799,0.6425830990076065,0.9835785627365112,0.7533310150403508,0.28870031747843483,0.48819565378512986,0.05984193599854168,0.25321747715145027,0.013360351331653857,0.00059320544905203,robust,"['xy_tracking_drift_p95', 'initial_stationary_xy_max']",False
robust_seed1,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07605598187346052,0.08085809908807277,0.0959839823565278,0.18985425010323523,0.2187574803829193,0.13904808834195134,0.04120412738717087,0.05936472546309233,0.0792447105050087,0.4123674516021185,0.6688344836235046,0.8313966393470764,0.5982354083905519,0.1889315808141821,0.21790513956183552,0.024200550026820557,0.05224759935934721,-0.03634831942275826,-0.004675527778833963,robust,[],True
robust_seed2,3972,3972,39.71999999999915,1.0,True,True,,True,True,True,0.07714192901361895,0.08111387938261032,0.07357501373564157,0.14321453198790549,0.21292465925216675,0.11631740666925902,0.0328961974594879,0.04940358567982911,0.07652085274457932,0.3686601075719881,0.5598644971847534,0.70210200548172,0.6153287868351033,0.14097159742229762,0.212428168441056,0.07589756358347084,0.08323711976021506,0.05753198806157826,0.012379379198328327,robust,"['stationary_tail_xy_increase', 'stationary_tail_xy_slope']",False
