playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.06062200292944908,0,0.005312635097652674,0.0006371001363731921,0.01883978769183159,0.7976395487785339,0.565758228302002,3.714146375656128,0.005997559987008572,0.01585504412651062,0.10859163105487823,19.85972023010254,0.0,0.5769826173782349,2.909945011138916,0,0,0,0,0.000637054443359375,-7.62939453125e-06
1,0.01,1,0.06507537513971329,0,0.01187877357006073,0.004258185625076294,0.03994623199105263,0.6558388471603394,0.3781450092792511,1.0114668607711792,0.01216918509453535,0.03394165262579918,0.2046116590499878,13.117219924926758,0.0,0.5512868165969849,2.150935649871826,0,0,0,0,0.004252433776855469,0.00022125244140625
2,0.02,2,0.07395845651626587,0,0.016889212653040886,0.006503499578684568,0.0416700504720211,0.4457007050514221,0.15083281695842743,0.7643842101097107,0.0171747338026762,0.04379582405090332,0.23467177152633667,6.127786636352539,0.0,0.4244004189968109,1.322180151939392,0,0,0,0,0.0064830780029296875,0.000514984130859375
3,0.03,3,0.07803996652364731,0,0.020555268973112106,0.007798951584845781,0.03802209720015526,0.31963908672332764,0.06421712785959244,0.6139519214630127,0.02056432142853737,0.04792267084121704,0.22682879865169525,5.313202381134033,0.0,0.3327805995941162,0.9876457452774048,0,0,0,0,0.0077838897705078125,0.000484466552734375
4,0.04,4,0.07928743213415146,0,0.023048199713230133,0.008508998900651932,0.03377985954284668,0.21894939243793488,0.040602508932352066,0.491235613822937,0.022607170045375824,0.05034972354769707,0.22846631705760956,4.595886707305908,0.0,0.2746496796607971,0.8428348898887634,0,0,0,0,0.00850677490234375,0.000194549560546875
5,0.05,5,0.08010486513376236,0,0.024549927562475204,0.008999376557767391,0.03097638115286827,0.1179886981844902,0.021228058263659477,0.5124194622039795,0.023543551564216614,0.05314837023615837,0.23826998472213745,3.4733142852783203,0.0,0.21009880304336548,0.6993474364280701,0,0,0,0,0.008998870849609375,-9.5367431640625e-05
6,0.06,6,0.08047673106193542,0,0.02507075108587742,0.009339227341115475,0.029101768508553505,0.018552178516983986,0.008912615478038788,0.4714914560317993,0.023564636707305908,0.055881794542074203,0.24818077683448792,2.9274744987487793,0.0,0.16390769183635712,0.6116510033607483,0,0,0,0,0.009335517883300781,-0.000263214111328125
7,0.07,7,0.08023358881473541,0,0.024608246982097626,0.009535581804811954,0.027485303580760956,0.08581940829753876,0.013796969316899776,0.43022093176841736,0.022778412327170372,0.057954929769039154,0.25615280866622925,2.8806912899017334,0.0,0.19562900066375732,0.6670584678649902,0,0,0,0,0.009530067443847656,-0.000324249267578125
8,0.08,8,0.0800047442317009,0,0.023212000727653503,0.009614436887204647,0.026392042636871338,0.1788605898618698,0.028224008157849312,0.5197690725326538,0.02130928449332714,0.06029152125120163,0.2612655758857727,2.8080382347106934,0.0,0.24227333068847656,0.6554206609725952,0,0,0,0,0.009609222412109375,-0.000316619873046875
9,0.09,9,0.07897570729255676,0,0.02104717306792736,0.009613480418920517,0.02608979493379593,0.24775968492031097,0.025420045480132103,0.46567440032958984,0.01932685635983944,0.060043346136808395,0.2575768530368805,5.50376558303833,0.0,0.2717491388320923,0.7685451507568359,0,0,0,0,0.009609222412109375,-0.000286102294921875
