playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_rot,error_anchor_lin_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.039372775703668594,0,0.0018032160587608814,0.012020974420011044,0.24694852530956268,1.1594284772872925,0.0033833752386271954,0.018550582230091095,0.12259367108345032,16.587549209594727,0.4152536392211914,2.5691704750061035,0,0,0,0,0.0017242431640625,4.1961669921875e-05
1,0.01,1,0.03899538144469261,0,0.0036223181523382664,0.013739067129790783,0.18052135407924652,1.1526023149490356,0.00714058568701148,0.04356680437922478,0.25145360827445984,8.368690490722656,0.33663439750671387,1.866629958152771,0,0,0,0,0.0035800933837890625,8.0108642578125e-05
2,0.02,2,0.04559015482664108,0,0.0044528343714773655,0.007514278404414654,0.26192501187324524,1.0080690383911133,0.009227932430803776,0.04793804883956909,0.25793078541755676,6.380395889282227,0.2714778184890747,1.32249116897583,0,0,0,0,0.003292083740234375,0.000217437744140625
3,0.03,3,0.04736199602484703,0,0.006468588020652533,0.008394564501941204,0.26603373885154724,0.7200870513916016,0.010997144505381584,0.04210086911916733,0.23153135180473328,5.200706481933594,0.314845472574234,1.2468230724334717,0,0,0,0,0.0024871826171875,0.000354766845703125
4,0.04,4,0.04936646670103073,0,0.008343164809048176,0.00993630476295948,0.14161787927150726,0.6980514526367188,0.01223308127373457,0.03571309521794319,0.2185232788324356,3.561199188232422,0.1856570690870285,0.8532454371452332,0,0,0,0,0.002391815185546875,0.000476837158203125
5,0.05,5,0.04919208586215973,0,0.009516713209450245,0.014807329513132572,0.14399206638336182,0.7700973153114319,0.013149494305253029,0.034606508910655975,0.22648857533931732,3.5423195362091064,0.1431395709514618,0.6574399471282959,0,0,0,0,0.0033817291259765625,0.000644683837890625
6,0.06,6,0.05068705603480339,0,0.010282767936587334,0.020351285114884377,0.17300444841384888,0.48887842893600464,0.013811782002449036,0.03792538493871689,0.24180033802986145,3.8037354946136475,0.12214424461126328,0.7441121339797974,0,0,0,0,0.0049228668212890625,0.000850677490234375
7,0.07,7,0.0505988746881485,0,0.010938609950244427,0.02311701700091362,0.17362534999847412,0.1963549703359604,0.014304290525615215,0.04408968240022659,0.26056620478630066,4.27972936630249,0.11211343854665756,0.8987916707992554,0,0,0,0,0.006603240966796875,0.0010223388671875
8,0.08,8,0.05039428547024727,0,0.011523721739649773,0.023409903049468994,0.13797631859779358,0.06850001215934753,0.014744585379958153,0.051232244819402695,0.2831471562385559,3.806608200073242,0.09896022081375122,0.8057483434677124,0,0,0,0,0.00803375244140625,0.001102447509765625
9,0.09,9,0.05077873170375824,0,0.011978299356997013,0.02240174636244774,0.07270389795303345,0.22661149501800537,0.015153110027313232,0.05652446672320366,0.3018305003643036,2.7996528148651123,0.07833953201770782,0.6014305353164673,0,0,0,0,0.008975982666015625,0.001079559326171875
10,0.1,10,0.05162995681166649,0,0.012273959815502167,0.021338149905204773,0.030099185183644295,0.2781688868999481,0.01551869697868824,0.05879105255007744,0.31259796023368835,2.101571798324585,0.07010357081890106,0.3710406422615051,0,0,0,0,0.009389877319335938,0.00102996826171875
11,0.11,11,0.05179593712091446,0,0.01249595358967781,0.020253999158740044,0.03759051859378815,0.2131429761648178,0.015825144946575165,0.058180928230285645,0.31750237941741943,2.4220685958862305,0.06992445141077042,0.46409425139427185,0,0,0,0,0.009450912475585938,0.0010986328125
12,0.12,12,0.05099651962518692,0,0.012828081846237183,0.01959303766489029,0.05129777640104294,0.11746285110712051,0.01610526442527771,0.05583960935473442,0.3227359354496002,3.2434256076812744,0.06679878383874893,0.5488540530204773,0,0,0,0,0.009502410888671875,0.001293182373046875
