playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.07809033244848251,0,0.0003128437092527747,0.00030765458359383047,0.0020814884919673204,0.09762904793024063,0.06379439681768417,0.3122861683368683,0.000701645330991596,0.00444234861060977,0.024310650303959846,3.5659780502319336,0.0,0.151483952999115,0.6590366363525391,0,0,0,0,0.0003075599670410156,7.62939453125e-06
1,0.01,1,0.07986333966255188,0,0.0016563411336392164,0.0006604635273106396,0.006203065626323223,0.1782369166612625,0.05539855360984802,0.5432578325271606,0.0029091695323586464,0.011095954105257988,0.0618458054959774,3.7922868728637695,0.0,0.25733333826065063,0.6957997679710388,0,0,0,0,0.0006604194641113281,7.62939453125e-06
2,0.02,2,0.07966230809688568,0,0.0040747858583927155,0.000929800677113235,0.012065880000591278,0.2763223350048065,0.06327569484710693,0.6363298892974854,0.00625314936041832,0.018799535930156708,0.10048733651638031,3.869511604309082,0.0,0.35567793250083923,0.8000415563583374,0,0,0,0,0.000926971435546875,-7.2479248046875e-05
3,0.03,3,0.076865054666996,0,0.007506632246077061,0.0012315175263211131,0.017302315682172775,0.3481346666812897,0.04706202819943428,0.6129757165908813,0.010469099506735802,0.02673324942588806,0.13433218002319336,4.5974626541137695,0.0,0.461105078458786,0.9467029571533203,0,0,0,0,0.0012030601501464844,-0.000263214111328125
4,0.04,4,0.07835707068443298,0,0.010167407803237438,0.0010004444047808647,0.023952621966600418,0.15805894136428833,0.04634588211774826,0.165985107421875,0.013303796760737896,0.028795629739761353,0.13667510449886322,2.588221788406372,0.0,0.15525197982788086,0.5968596935272217,0,0,0,0,0.0009965896606445312,-8.7738037109375e-05
5,0.05,5,0.07782232761383057,0,0.01117262989282608,0.00114654831122607,0.025335680693387985,0.09613916277885437,0.07891514152288437,0.3049372136592865,0.014371342957019806,0.03054124489426613,0.13534238934516907,1.5899443626403809,0.0,0.09875854849815369,0.37455737590789795,0,0,0,0,0.0010409355163574219,-0.00048065185546875
6,0.06,6,0.0781630352139473,0,0.011567276902496815,0.0019060111371800303,0.02695538103580475,0.10842230170965195,0.1084064394235611,0.30879348516464233,0.01479155384004116,0.03272731602191925,0.1455775648355484,2.1702425479888916,0.0,0.08059060573577881,0.4833551347255707,0,0,0,0,0.0017466545104980469,-0.000762939453125
7,0.07,7,0.07860614359378815,0,0.011738823726773262,0.0026453256141394377,0.02824927680194378,0.08135057240724564,0.08134985715150833,0.45725134015083313,0.01503332145512104,0.03566914424300194,0.15954890847206116,2.1466476917266846,0.0,0.07388561964035034,0.4427390992641449,0,0,0,0,0.0024995803833007812,-0.000865936279296875
8,0.08,8,0.07945360243320465,0,0.011953349225223064,0.0031681032851338387,0.029491227120161057,0.058349609375,0.057979390025138855,0.1711101531982422,0.015244239941239357,0.03749052807688713,0.1714375764131546,1.6471961736679077,0.0,0.06526605039834976,0.3783687949180603,0,0,0,0,0.0030517578125,-0.000850677490234375
9,0.09,9,0.07923580706119537,0,0.012220963835716248,0.00355012365616858,0.029665105044841766,0.0464409776031971,0.04500994458794594,0.16112284362316132,0.015511970035731792,0.03902020305395126,0.1813088059425354,1.7296302318572998,0.0,0.06592171639204025,0.3633210361003876,0,0,0,0,0.0034761428833007812,-0.000720977783203125
