playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.06070808693766594,0,0.005297650583088398,0.0005632793181575835,0.019541336223483086,0.7920193076133728,0.5584362745285034,3.875885009765625,0.0060012973845005035,0.016126777976751328,0.10939966887235641,20.09522247314453,0.0,0.5754159688949585,2.9289183616638184,0,0,0,0,0.0005617141723632812,4.1961669921875e-05
1,0.01,1,0.06614034622907639,0,0.011834491975605488,0.004185441881418228,0.04073252156376839,0.6617079377174377,0.3870505690574646,0.8328767418861389,0.012147514149546623,0.03364238888025284,0.20450350642204285,11.543627738952637,0.0,0.5603822469711304,1.9140915870666504,0,0,0,0,0.004162788391113281,0.00043487548828125
2,0.02,2,0.07461945712566376,0,0.016999932006001472,0.0068063437938690186,0.04094529151916504,0.45428168773651123,0.17664743959903717,0.7330978512763977,0.017183836549520493,0.04223237559199333,0.2294752597808838,6.868490695953369,0.0,0.4373619258403778,1.2305684089660645,0,0,0,0,0.0067291259765625,0.0010223388671875
3,0.03,3,0.07832618057727814,0,0.020707525312900543,0.00826835073530674,0.03898315131664276,0.3232923746109009,0.08033154159784317,0.6388868093490601,0.02074456214904785,0.04533717781305313,0.21964655816555023,4.450666427612305,0.0,0.3333542048931122,0.9406632781028748,0,0,0,0,0.008139610290527344,0.001453399658203125
4,0.04,4,0.07940249145030975,0,0.023194143548607826,0.009012938477098942,0.03760043531656265,0.2152693122625351,0.03467196971178055,0.5717234015464783,0.02288026735186577,0.049182526767253876,0.22252526879310608,3.8671011924743652,0.0,0.2627394199371338,0.8782824873924255,0,0,0,0,0.008823394775390625,0.00183868408203125
5,0.05,5,0.08006115257740021,0,0.024572737514972687,0.009326154366135597,0.03712264448404312,0.11184921115636826,0.03080742619931698,0.5040293335914612,0.023895367980003357,0.052985817193984985,0.23245663940906525,3.0559158325195312,0.0,0.1935756802558899,0.694214940071106,0,0,0,0,0.009059906005859375,0.0022125244140625
6,0.06,6,0.08079240471124649,0,0.02487129531800747,0.009351255372166634,0.0369899682700634,0.04306400567293167,0.042927876114845276,0.4158250391483307,0.023974847048521042,0.05524430423974991,0.23926246166229248,2.4194672107696533,0.0,0.14661413431167603,0.47247692942619324,0,0,0,0,0.008986473083496094,0.00258636474609375
7,0.07,7,0.08088380843400955,0,0.024169495329260826,0.009252176620066166,0.03775053098797798,0.10492207854986191,0.04013282060623169,0.3286553621292114,0.023208409547805786,0.05570188909769058,0.241878479719162,2.4634087085723877,0.0,0.1750529259443283,0.48149141669273376,0,0,0,0,0.008767127990722656,0.002956390380859375
8,0.08,8,0.08083466440439224,0,0.022615579888224602,0.009156343527138233,0.03895486518740654,0.1879303902387619,0.026116715744137764,0.2583114802837372,0.021705355495214462,0.053429633378982544,0.2394542247056961,2.169721841812134,0.0,0.22512978315353394,0.4759802222251892,0,0,0,0,0.008541107177734375,0.003299713134765625
9,0.09,9,0.08001574873924255,0,0.0207060594111681,0.009066187776625156,0.03757895901799202,0.19728128612041473,0.03643423318862915,0.30927810072898865,0.01998051628470421,0.05192674696445465,0.24202987551689148,4.9056243896484375,0.0,0.23016715049743652,0.6480281352996826,0,0,0,0,0.008335113525390625,0.003566741943359375
10,0.1,10,0.07933977991342545,0,0.0186960119754076,0.009087983518838882,0.0364522747695446,0.22162483632564545,0.03331497311592102,0.38836729526519775,0.018176767975091934,0.05279819667339325,0.25804728269577026,5.616889476776123,0.0,0.2472662627696991,0.7305380702018738,0,0,0,0,0.008298873901367188,0.003704071044921875
11,0.11,11,0.07883606851100922,0,0.016653766855597496,0.009163212962448597,0.03558380529284477,0.22517487406730652,0.019205646589398384,0.31606772541999817,0.01641404815018177,0.05567019805312157,0.288286030292511,5.667815208435059,0.0,0.2419508695602417,0.6842262148857117,0,0,0,0,0.008376121520996094,0.00371551513671875
12,0.12,12,0.0787840485572815,0,0.015021276660263538,0.009159663692116737,0.037606194615364075,0.15554821491241455,0.006773751694709063,0.2751386761665344,0.015050601214170456,0.05716255307197571,0.3230191767215729,5.519017696380615,0.0,0.17948102951049805,0.7280480265617371,0,0,0,0,0.008316993713378906,0.00383758544921875
13,0.13,13,0.07935353368520737,0,0.013781103305518627,0.009149052202701569,0.039882585406303406,0.13346242904663086,0.015766656026244164,0.2485014796257019,0.013966081663966179,0.0579756461083889,0.3593892753124237,4.49355936050415,0.0,0.1539386659860611,0.5735971927642822,0,0,0,0,0.008275032043457031,0.003902435302734375
14,0.14,14,0.08000434190034866,0,0.012699143029749393,0.009034714661538601,0.04104948043823242,0.08955863863229752,0.02724934183061123,0.16511273384094238,0.013022355735301971,0.05879112333059311,0.38418829441070557,1.8480643033981323,0.0,0.10997607558965683,0.39446935057640076,0,0,0,0,0.008198738098144531,0.003795623779296875
15,0.15,15,0.08024232089519501,0,0.01196941640228033,0.00876600295305252,0.040948741137981415,0.06058170646429062,0.02582472190260887,0.19321687519550323,0.012254456989467144,0.05856341868638992,0.37983205914497375,1.7264665365219116,0.0,0.09345753490924835,0.3950391709804535,0,0,0,0,0.008073806762695312,0.003414154052734375
16,0.16,16,0.08049210160970688,0,0.011447325348854065,0.008622836321592331,0.0403711274266243,0.04256826639175415,0.02296416647732258,0.10509587079286575,0.011607028543949127,0.05937149375677109,0.3825538158416748,1.4419339895248413,0.0,0.08619841188192368,0.37401044368743896,0,0,0,0,0.0080413818359375,0.00311279296875
17,0.17,17,0.08057805895805359,0,0.011067294515669346,0.008507907390594482,0.038596589118242264,0.03409752994775772,0.025882355868816376,0.20093072950839996,0.011182821355760098,0.06077856570482254,0.38465461134910583,1.5416852235794067,0.0,0.08743342012166977,0.41669973731040955,0,0,0,0,0.008023262023925781,0.00283050537109375
18,0.18,18,0.08059021085500717,0,0.010770420543849468,0.008400780148804188,0.036322977393865585,0.03246251493692398,0.030686385929584503,0.244195356965065,0.010909928940236568,0.06261976063251495,0.3848567306995392,2.042465925216675,0.0,0.08927270770072937,0.4674578905105591,0,0,0,0,0.008001327514648438,0.002559661865234375
19,0.19,19,0.0805935487151146,0,0.010530667379498482,0.008283630013465881,0.034131426364183426,0.03111151233315468,0.030997732654213905,0.23426969349384308,0.010754106566309929,0.064482182264328,0.3806551694869995,2.3326776027679443,0.0,0.09036552906036377,0.49303755164146423,0,0,0,0,0.007969856262207031,0.00225830078125
20,0.2,20,0.08061579614877701,0,0.010340823791921139,0.008189999498426914,0.03223612904548645,0.02758198417723179,0.02754790522158146,0.2241428792476654,0.010687018744647503,0.06622783094644547,0.3743674159049988,2.500117301940918,0.0,0.08979185670614243,0.4887101650238037,0,0,0,0,0.007956504821777344,0.001941680908203125
21,0.21,21,0.0806499794125557,0,0.010188113898038864,0.008134394884109497,0.030612856149673462,0.02256907895207405,0.02249876782298088,0.2141209840774536,0.010687674395740032,0.06787961721420288,0.3673170208930969,2.5881989002227783,0.0,0.08712556213140488,0.48319512605667114,0,0,0,0,0.007964134216308594,0.00165557861328125
22,0.22,22,0.08069700002670288,0,0.01005275547504425,0.00811452604830265,0.0291872750967741,0.016702920198440552,0.015682032331824303,0.18982550501823425,0.010737249627709389,0.06944340467453003,0.360195517539978,2.615540027618408,0.0,0.08403825014829636,0.4754248261451721,0,0,0,0,0.007986068725585938,0.001438140869140625
23,0.23,23,0.08077418059110641,0,0.009919758886098862,0.00812654197216034,0.027964070439338684,0.013654164969921112,0.008247933350503445,0.16414204239845276,0.010811632499098778,0.0709516778588295,0.35383713245391846,2.4909095764160156,0.0,0.07934027165174484,0.44846615195274353,0,0,0,0,0.008024215698242188,0.001285552978515625
24,0.24,24,0.08084152638912201,0,0.009785173460841179,0.008173109963536263,0.026906952261924744,0.017803633585572243,0.0029016907792538404,0.13293662667274475,0.010894565843045712,0.07243971526622772,0.3487502634525299,2.3202528953552246,0.0,0.07646618038415909,0.4127698838710785,0,0,0,0,0.008081436157226562,0.001220703125
25,0.25,25,0.0809001624584198,0,0.009657274931669235,0.008262142539024353,0.0259950403124094,0.027042362838983536,0.009948096238076687,0.10127454251050949,0.01097586378455162,0.07387576997280121,0.34537413716316223,2.1027278900146484,0.0,0.07591094076633453,0.3761562705039978,0,0,0,0,0.008169174194335938,0.0012359619140625
26,0.26,26,0.08094891905784607,0,0.009547052904963493,0.008396509103477001,0.025214923545718193,0.03697342053055763,0.017666781321167946,0.076441690325737,0.01104001235216856,0.0752331092953682,0.34371230006217957,1.8619909286499023,0.0,0.07624012231826782,0.33058497309684753,0,0,0,0,0.008290290832519531,0.001331329345703125
27,0.27,27,0.08095535635948181,0,0.009474542923271656,0.0085830083116889,0.024461157619953156,0.04674846678972244,0.02563983015716076,0.06597736477851868,0.01109259482473135,0.07650457322597504,0.34373143315315247,1.654829502105713,0.0,0.07778587192296982,0.3181740939617157,0,0,0,0,0.008452415466308594,0.001491546630859375
28,0.28,28,0.08099038898944855,0,0.009467226453125477,0.008828233927488327,0.02389891818165779,0.05604725331068039,0.032807692885398865,0.05722048506140709,0.0111324992030859,0.07768262922763824,0.34510496258735657,1.3136619329452515,0.0,0.08009257167577744,0.271246999502182,0,0,0,0,0.008657455444335938,0.001728057861328125
29,0.29,29,0.0809759795665741,0,0.00954334158450365,0.009132293984293938,0.02340838685631752,0.06435775011777878,0.0396893285214901,0.057834673672914505,0.011177418753504753,0.07876230776309967,0.3480222225189209,1.1368523836135864,0.0,0.08243478834629059,0.253581166267395,0,0,0,0,0.008908271789550781,0.002010345458984375
30,0.3,30,0.08094727247953415,0,0.009720588102936745,0.009496337734162807,0.023048412054777145,0.07134579122066498,0.045875851064920425,0.06397517025470734,0.01122718583792448,0.07975180447101593,0.3521869480609894,0.9890913963317871,0.0,0.08452942967414856,0.24096590280532837,0,0,0,0,0.009202957153320312,0.00234222412109375
31,0.31,31,0.08090337365865707,0,0.010007817298173904,0.009916760958731174,0.022809332236647606,0.0768352523446083,0.051155149936676025,0.07422636449337006,0.011316990479826927,0.08067519962787628,0.35738417506217957,0.8914000988006592,0.0,0.08635592460632324,0.2317734658718109,0,0,0,0,0.009538650512695312,0.002712249755859375
32,0.32,32,0.0808596983551979,0,0.010400000028312206,0.010382918640971184,0.022664103657007217,0.08075173199176788,0.055291131138801575,0.08132988214492798,0.011472719721496105,0.08152370154857635,0.36328548192977905,0.779024600982666,0.0,0.0874098539352417,0.21454083919525146,0,0,0,0,0.009907722473144531,0.00310516357421875
33,0.33,33,0.0808032974600792,0,0.010894753970205784,0.010893435217440128,0.022602170705795288,0.08382102102041245,0.05874018371105194,0.0871940329670906,0.011736541986465454,0.08231479674577713,0.369637668132782,0.7227671146392822,0.0,0.08874261379241943,0.2121952772140503,0,0,0,0,0.010303497314453125,0.003536224365234375
34,0.34,34,0.08074584603309631,0,0.011472463607788086,0.011433882638812065,0.022616472095251083,0.08574501425027847,0.06128464266657829,0.0893280878663063,0.012147638015449047,0.08307348191738129,0.37641915678977966,0.7019146680831909,0.0,0.08980470895767212,0.21226096153259277,0,0,0,0,0.01071929931640625,0.003978729248046875
35,0.35000000000000003,35,0.08068837225437164,0,0.012125153094530106,0.012003891170024872,0.022704266011714935,0.08683666586875916,0.06312505155801773,0.09229739010334015,0.012635529041290283,0.08380098640918732,0.38343796133995056,0.7084879279136658,0.0,0.09065233170986176,0.2148837298154831,0,0,0,0,0.011149406433105469,0.00444793701171875
36,0.36,36,0.08063219487667084,0,0.012830018065869808,0.012589145451784134,0.022857410833239555,0.08718027919530869,0.0643438771367073,0.09245114773511887,0.01317615620791912,0.08451187610626221,0.39053580164909363,0.7236780524253845,0.0,0.0913882851600647,0.2168673872947693,0,0,0,0,0.011584281921386719,0.0049285888671875
37,0.37,37,0.08057356625795364,0,0.013577116653323174,0.013187259435653687,0.023032687604427338,0.08704870194196701,0.06512246280908585,0.08948087692260742,0.013752922415733337,0.08521877229213715,0.3977282643318176,0.7823707461357117,0.0,0.09200971573591232,0.22592562437057495,0,0,0,0,0.012018203735351562,0.005428314208984375
38,0.38,38,0.08049539476633072,0,0.014355326071381569,0.013794242404401302,0.023230375722050667,0.08599995076656342,0.06499136984348297,0.08874663710594177,0.014346863143146038,0.08591938018798828,0.4048100709915161,1.1337171792984009,0.0,0.0923938974738121,0.23631668090820312,0,0,0,0,0.012446403503417969,0.005947113037109375
39,0.39,39,0.08044403791427612,0,0.015152014791965485,0.014401967637240887,0.023435253649950027,0.08498305827379227,0.06480248272418976,0.07904892414808273,0.014957522973418236,0.08666259050369263,0.4119572937488556,1.0165263414382935,0.0,0.09236083924770355,0.24295656383037567,0,0,0,0,0.012865066528320312,0.006473541259765625
40,0.4,40,0.0803990364074707,0,0.015959246084094048,0.015006229281425476,0.02359449490904808,0.08296217024326324,0.06289023160934448,0.07904907315969467,0.015584558248519897,0.0873539075255394,0.4183860123157501,0.865868866443634,0.0,0.09375473111867905,0.2703457772731781,0,0,0,0,0.01326751708984375,0.00701141357421875
41,0.41000000000000003,41,0.08021512627601624,0,0.016750400885939598,0.015590495429933071,0.023456858471035957,0.07960306853055954,0.06380532681941986,0.045512329787015915,0.016191575676202774,0.08792253583669662,0.42335033416748047,1.9297943115234375,0.0,0.0927102118730545,0.3185766637325287,0,0,0,0,0.013636589050292969,0.007556915283203125
42,0.42,42,0.08016805350780487,0,0.0175009798258543,0.01615663431584835,0.023263199254870415,0.07892648130655289,0.06580560654401779,0.06035865098237991,0.016726600006222725,0.08840855211019516,0.4245719611644745,2.0483198165893555,0.0,0.09362731873989105,0.3668222427368164,0,0,0,0,0.013991355895996094,0.00807952880859375
43,0.43,43,0.08017589151859283,0,0.018249688670039177,0.01673140749335289,0.023085549473762512,0.07668498903512955,0.06570666283369064,0.0578003004193306,0.0172552689909935,0.08899323642253876,0.42641374468803406,1.7514482736587524,0.0,0.09361293911933899,0.38213032484054565,0,0,0,0,0.014334678649902344,0.00862884521484375
44,0.44,44,0.07952287793159485,0,0.01899738982319832,0.01730455830693245,0.02279670536518097,0.07601330429315567,0.0646776556968689,0.06866205483675003,0.0178229920566082,0.08933509886264801,0.42751356959342957,3.982132911682129,0.0,0.09692820906639099,0.5498794317245483,0,0,0,0,0.014643669128417969,0.009220123291015625
