playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.053864866495132446,0,0.0070332009345293045,0.0002614098775666207,0.011454143561422825,0.8188685178756714,0.5485575795173645,2.261108875274658,0.007777276448905468,0.016293348744511604,0.13192977011203766,22.864931106567383,0.0,0.7140603065490723,3.5008788108825684,0,0,0,0,0.00025736913084983826,4.57763671875e-05
1,0.01,1,0.0630866214632988,0,0.01593312993645668,0.001879112794995308,0.023389924317598343,0.7387490272521973,0.35484060645103455,1.1711602210998535,0.016395203769207,0.02669905684888363,0.21550531685352325,13.102752685546875,0.0,0.6378229856491089,2.0676321983337402,0,0,0,0,0.0017461497336626053,0.00069427490234375
2,0.02,2,0.07062137126922607,0,0.022613614797592163,0.0037402736488729715,0.028517190366983414,0.5687378644943237,0.11666251718997955,1.250580906867981,0.02205374650657177,0.036003172397613525,0.26738131046295166,11.47787094116211,0.0,0.5765119791030884,1.9488844871520996,0,0,0,0,0.0034216465428471565,0.0015106201171875
3,0.03,3,0.07529304921627045,0,0.027621040120720863,0.004295553546398878,0.0347600020468235,0.4325161576271057,0.024641916155815125,1.424502968788147,0.02674606814980507,0.045279812067747116,0.29636868834495544,6.848050117492676,0.0,0.4903784692287445,1.5464041233062744,0,0,0,0,0.00379000511020422,0.00202178955078125
4,0.04,4,0.0763658881187439,0,0.03147653117775917,0.0043820482678711414,0.04361945763230324,0.3315311372280121,0.05208665877580643,1.198341965675354,0.030678968876600266,0.05347200483083725,0.3201906383037567,5.682530403137207,0.0,0.42193055152893066,1.26654851436615,0,0,0,0,0.0036465907469391823,0.002429962158203125
5,0.05,5,0.07826195657253265,0,0.03423577547073364,0.004333980847150087,0.04917530715465546,0.2522093951702118,0.06279896199703217,0.585634708404541,0.03366532549262047,0.05854707956314087,0.3304782211780548,4.263382911682129,0.0,0.3294243812561035,0.937358021736145,0,0,0,0,0.003330506384372711,0.002773284912109375
6,0.06,6,0.07907023280858994,0,0.03590348735451698,0.004210563376545906,0.049791209399700165,0.1726677268743515,0.07592969387769699,0.46273425221443176,0.03560115024447441,0.06052282080054283,0.32845640182495117,3.541947603225708,0.0,0.23501265048980713,0.7568196058273315,0,0,0,0,0.002963850274682045,0.00299072265625
7,0.07,7,0.07998540252447128,0,0.03658987209200859,0.004197235684841871,0.04817663133144379,0.09702426195144653,0.07454814016819,0.5100701451301575,0.03650432825088501,0.0608760230243206,0.32272160053253174,3.2818236351013184,0.0,0.15648818016052246,0.62260901927948,0,0,0,0,0.002737719565629959,0.00318145751953125
8,0.08,8,0.08000171184539795,0,0.03633028641343117,0.004300344735383987,0.04501869156956673,0.07325338572263718,0.06425386667251587,0.5540727376937866,0.03637979179620743,0.060662344098091125,0.3174659013748169,3.0955958366394043,0.0,0.14339075982570648,0.6237902045249939,0,0,0,0,0.0026829708367586136,0.003360748291015625
9,0.09,9,0.07980483770370483,0,0.03517822176218033,0.0045659807510674,0.042050205171108246,0.13795404136180878,0.05704771727323532,0.5153852701187134,0.03528269752860069,0.05972444638609886,0.3111778199672699,2.9752562046051025,0.0,0.19275742769241333,0.639374852180481,0,0,0,0,0.0027776015922427177,0.00362396240234375
