playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.06559675931930542,0,0.0017910923343151808,0.0017132238717749715,0.01205891091376543,0.24601314961910248,0.24599577486515045,1.1603540182113647,0.0033615045249462128,0.01824982464313507,0.12246273458003998,16.55440330505371,0.0,0.4104604721069336,2.507981777191162,0,0,0,0,0.001712799072265625,3.814697265625e-05
1,0.01,1,0.06935758888721466,0,0.003471581730991602,0.0034236907958984375,0.014298925176262856,0.18416160345077515,0.018926965072751045,0.9469917416572571,0.0070592849515378475,0.038540784269571304,0.2460467368364334,5.973376750946045,0.0,0.3236512839794159,1.3167874813079834,0,0,0,0,0.0034236907958984375,0.0
2,0.02,2,0.07835417985916138,0,0.004077640362083912,0.002940533449873328,0.0059049068950116634,0.19013525545597076,0.08870477974414825,0.879757285118103,0.008904259651899338,0.03903166949748993,0.24186426401138306,3.6693878173828125,0.0,0.18984639644622803,0.7181209325790405,0,0,0,0,0.0029392242431640625,8.7738037109375e-05
3,0.03,3,0.07790821045637131,0,0.005261426791548729,0.0022491749841719866,0.008858741261065006,0.15962378680706024,0.056002456694841385,0.6207097172737122,0.009912261739373207,0.03515639528632164,0.22094275057315826,3.9395480155944824,0.0,0.19129574298858643,0.7618194818496704,0,0,0,0,0.0021800994873046875,0.000553131103515625
4,0.04,4,0.07839231193065643,0,0.006815009750425816,0.002145325532183051,0.014931776560842991,0.14094553887844086,0.05643831938505173,0.8099504113197327,0.010833251290023327,0.032317426055669785,0.21052320301532745,2.982732057571411,0.0,0.1875440776348114,0.6872550845146179,0,0,0,0,0.00186920166015625,0.0010528564453125
5,0.05,5,0.07726948708295822,0,0.007852480746805668,0.0023854062892496586,0.019048722460865974,0.06502361595630646,0.040161166340112686,0.5883136987686157,0.011744191870093346,0.03220171481370926,0.21124862134456635,2.666748285293579,0.0,0.22260808944702148,0.6692924499511719,0,0,0,0,0.001861572265625,0.001491546630859375
6,0.06,6,0.0786900594830513,0,0.008686231449246407,0.0028931007254868746,0.022403238341212273,0.10160348564386368,0.07687675952911377,0.5209242701530457,0.012567993253469467,0.03267550840973854,0.21229887008666992,1.6024354696273804,0.0,0.16095562279224396,0.39133286476135254,0,0,0,0,0.0021343231201171875,0.001953125
7,0.07,7,0.07923499494791031,0,0.00972976814955473,0.003667184617370367,0.026379741728305817,0.12010694295167923,0.09800045192241669,0.4043632447719574,0.013336360454559326,0.032650791108608246,0.20915855467319489,1.435267686843872,0.0,0.10743969678878784,0.3259214460849762,0,0,0,0,0.0025768280029296875,0.0026092529296875
8,0.08,8,0.07915269583463669,0,0.010806875303387642,0.004560147877782583,0.028872128576040268,0.11785241961479187,0.09549275785684586,0.363486111164093,0.014069921337068081,0.032993026077747345,0.2046016901731491,1.556207299232483,0.0,0.10366439819335938,0.3234860897064209,0,0,0,0,0.003139495849609375,0.003307342529296875
9,0.09,9,0.07939312607049942,0,0.011900566518306732,0.0054071759805083275,0.030382638797163963,0.11652225255966187,0.08413586020469666,0.2494775801897049,0.014798971824347973,0.03296700865030289,0.20000767707824707,1.692542314529419,0.0,0.10494880378246307,0.3455805778503418,0,0,0,0,0.0036449432373046875,0.003993988037109375
10,0.1,10,0.07939542829990387,0,0.013059371151030064,0.006160920485854149,0.030755888670682907,0.11155042797327042,0.07811376452445984,0.16157975792884827,0.015542137436568737,0.032199375331401825,0.19405291974544525,1.7769862413406372,0.0,0.10281595587730408,0.3371311128139496,0,0,0,0,0.0040149688720703125,0.004673004150390625
11,0.11,11,0.07922862470149994,0,0.014147014357149601,0.006881549954414368,0.0316673144698143,0.1053706556558609,0.07828487455844879,0.18684709072113037,0.016244156286120415,0.03196370229125023,0.19168342649936676,1.8002049922943115,0.0,0.10046611726284027,0.36414122581481934,0,0,0,0,0.004367828369140625,0.00531768798828125
12,0.12,12,0.0792049989104271,0,0.015166453085839748,0.007593016605824232,0.03306027501821518,0.10085809230804443,0.08163938671350479,0.18744787573814392,0.01693440042436123,0.0330546498298645,0.19155608117580414,1.7267255783081055,0.0,0.09495759010314941,0.3520697057247162,0,0,0,0,0.004711151123046875,0.005954742431640625
13,0.13,13,0.0791262835264206,0,0.016094578430056572,0.008342872373759747,0.03409172594547272,0.09484704583883286,0.08183509856462479,0.15525805950164795,0.017539113759994507,0.0345727764070034,0.19375212490558624,1.5443686246871948,0.0,0.0882946252822876,0.26816731691360474,0,0,0,0,0.0050792694091796875,0.006618499755859375
14,0.14,14,0.07943697273731232,0,0.016987863928079605,0.00907592847943306,0.03477416932582855,0.09035594016313553,0.07278250902891159,0.059345047920942307,0.01810869760811329,0.03570939600467682,0.1968384087085724,1.1549956798553467,0.0,0.08935751020908356,0.2403404414653778,0,0,0,0,0.0054473876953125,0.007259368896484375
15,0.15,15,0.07953900843858719,0,0.017913974821567535,0.009697804227471352,0.034816429018974304,0.09069615602493286,0.06609208881855011,0.03561550751328468,0.01870580017566681,0.0360952690243721,0.1978325992822647,1.1161062717437744,0.0,0.09347014129161835,0.2562418580055237,0,0,0,0,0.005645751953125,0.007884979248046875
